,BA_Aw,BA_Sb,BA_Sw,BA_Pl
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,1.40851691566,0.0,0.894822874325,0.0
16,1.4709291259,0.0,0.895147158519,0.0
17,1.51772369997,0.0,0.896286846297,0.0
18,1.55451972097,0.0,0.898839878776,0.0
19,1.584434313,0.0,0.903431075044,0.0
20,1.60959570147,0.0,0.910674286938,0.0
21,1.63166070963,0.0,0.921148224967,0.0
22,1.65204209259,0.0,0.935381223004,0.781465064766
23,1.67202440365,0.0,0.953842158909,0.792669065705
24,1.69282837635,0.0,0.976935708141,0.811149112755
25,1.71564761482,0.0,1.00500066023,0.837227142762
26,1.74166805844,0.0,1.03831038288,0.870635093381
27,1.7720751627,0.0,1.07707476442,0.910844190163
28,1.80805135555,0.0,1.12144314375,0.957201394192
29,1.8507654199,0.0,1.17150787094,1.00900193047
30,1.90135532247,0.0,1.2273082422,1.06553244842
31,1.96090629486,0.0,1.28883462882,1.12609781406
32,2.03042641134,0.0,1.35603267563,1.19003764916
33,2.11082226466,0.0,1.42880748513,1.25673602865
34,2.20287742224,0.0,1.50702773127,1.32562648919
35,2.30723603026,0.0,1.59052966623,1.39619381795
36,2.42439322518,0.0,1.67912099551,1.46797366551
37,2.55469303842,0.0,1.77258460436,1.5405507351
38,2.69833345348,0.0,1.87068212303,1.6135560906
39,2.85537741678,0.0,1.9731573211,1.68666396921
40,3.02576807125,0.0,2.07973932294,1.75958836914
41,3.20934632227,0.0,2.19014563784,1.83207959653
42,3.40586900722,0.0,2.30408499932,1.90392089346
43,3.61502630817,0.0,2.42126000998,1.97492522325
44,3.83645749536,0.0,2.54136958949,2.04493225754
45,4.06976451591,0.0,2.66411122483,2.1138055872
46,4.31452328677,0.0,2.78918302382,2.18143016407
47,4.57029279106,0.0,2.91628557435,2.24770997039
48,4.83662221854,0.0,3.04512361328,2.3125659069
49,5.11305645396,0.0,3.17540751048,2.37593388644
50,5.39914022537,0.0,3.30685457453,2.43776311835
51,5.6944211997,0.0,3.43919018787,2.49801456797
52,5.99845227241,0.0,3.57214877969,2.55665957579
53,6.31079325208,0.0,3.7054746458,2.61367862129
54,6.63101209731,0.0,3.83892262505,2.6690602174
55,6.95868582517,0.0,3.97225864203,2.72279992248
56,7.29340117892,0.0,4.10526012623,2.77489945774
