,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl
0,0.0,0.0,0.0,334.238918604,0.0,0.0,0.0,1.0,-56.0,-15.7661498972,-56.0,-12.3846721579,-56.0,-5.0,-56.0,0.5830723113,0.0,0.0,0.0,0.00201014376755,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,334.234021467,0.0,0.0,0.0,1.0,-55.0,-14.7661498972,-55.0,-11.3846721579,-55.0,-4.0,-55.0,1.5830723113,0.0,0.0,0.0,0.017837005394,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,334.227407574,0.0,0.0,0.0,1.0,-54.0,-13.7661498972,-54.0,-10.3846721579,-54.0,-3.0,-54.0,2.5830723113,0.0,0.0,0.0,0.0567962820966,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,334.219207588,0.0,0.0,0.0,1.0,-53.0,-12.7661498972,-53.0,-9.3846721579,-53.0,-2.0,-53.0,3.5830723113,0.0,0.0,0.0,0.117646555564,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,334.209512348,0.0,0.0,0.0,1.0,-52.0,-11.7661498972,-52.0,-8.3846721579,-52.0,-1.0,-52.0,4.5830723113,0.0,0.0,0.0,0.197047526704,0.0,0.0,0.0,0.0
5,0.0,1312.98110256,0.0,334.198390692,0.0,0.797108698803,0.0,0.202891301197,-51.0,-10.7661498972,-51.0,-7.3846721579,-51.0,0.0,-51.0,5.5830723113,0.0,0.0,0.0,0.292012264523,0.0,0.0,0.0,0.0
6,0.0,1312.90990803,0.0,334.185897593,0.0,0.797105974982,0.0,0.202894025018,-50.0,-9.7661498972,-50.0,-6.3846721579,-50.0,1.0,-50.0,6.5830723113,0.0,0.0199058934284,0.0,0.400133199647,0.0,0.0,0.0,0.0
7,0.0,1312.7634819,0.0,334.172078557,0.0,0.797094624355,0.0,0.202905375645,-49.0,-8.7661498972,-49.0,-5.3846721579,-49.0,2.0,-49.0,7.5830723113,0.0,0.0684691878852,0.0,0.519482536135,0.0,0.0,0.0,0.0
8,0.0,1312.52742439,0.0,334.156972236,0.0,0.797072849587,0.0,0.202927150413,-48.0,-7.7661498972,-48.0,-4.3846721579,-48.0,3.0,-48.0,8.5830723113,0.0,0.143335414338,0.0,0.648497410173,0.0,0.0,0.0,0.0
9,0.0,1312.19004391,0.0,334.140612119,0.0,0.79703918475,0.0,0.20296081525,-47.0,-6.7661498972,-47.0,-3.3846721579,-47.0,4.0,-47.0,9.5830723113,0.0,0.240984358809,0.0,0.785890901859,0.0,0.0,0.0,0.0
10,0.0,1311.74133826,0.0,334.123027673,0.0,0.796992367908,0.0,0.203007632092,-46.0,-5.7661498972,-46.0,-2.3846721579,-46.0,5.0,-46.0,10.5830723113,0.0,0.35824517539,0.0,0.930587448035,0.0,0.0,0.0,0.0
11,0.0,1311.17250773,0.0,334.104245158,0.0,0.796931279451,0.0,0.203068720549,-45.0,-4.7661498972,-45.0,-1.3846721579,-45.0,6.0,-45.0,11.5830723113,0.0,0.492393100712,0.0,1.0816761896,0.0,0.0,0.0,0.0
12,0.0,1310.47567997,0.0,334.084288216,0.0,0.796854906675,0.0,0.203145093325,-44.0,-3.7661498972,-44.0,-0.3846721579,-44.0,7.0,-44.0,12.5830723113,0.0,0.641093884999,0.0,1.23837686523,0.0,0.0,0.0,0.0
13,0.0,1309.64373865,0.0,334.063178322,0.0,0.796762321268,0.0,0.203237678732,-43.0,-2.7661498972,-43.0,0.6153278421,-43.0,8.0,-43.0,13.5830723113,0.0,0.80233557691,0.0,1.40001445428,0.0,0.00108535377237,0.0,0.0
14,0.0,1308.67020965,0.0,334.040935128,0.0,0.796652663989,0.0,0.203347336011,-42.0,-1.7661498972,-42.0,1.6153278421,-42.0,9.0,-42.0,14.5830723113,0.0,0.974370895588,0.0,1.56599999036,0.0,0.00174389006502,0.0,0.0
15,0.0,1307.54918214,0.0,334.017576732,0.0,0.796525133731,0.0,0.203474866269,-41.0,-0.7661498972,-41.0,2.6153278421,-41.0,10.0,-41.0,15.5830723113,0.0,1.15567184667,0.0,1.73581579706,0.0,0.00367179960056,0.0,0.0
16,0.0,1306.27525188,0.0,333.993119899,0.0,0.796378979413,0.0,0.203621020587,-40.0,0.2338501028,-40.0,3.6153278421,-40.0,11.0,-40.0,16.5830723113,0.0,1.34489435608,0.0,1.90900394714,0.0,0.00764960328815,0.0,0.0355535454823
17,0.0,1304.84347962,0.0,333.96758023,0.0,0.796213493788,0.0,0.203786506212,-39.0,1.2338501028,-39.0,4.6153278421,-39.0,12.0,-39.0,17.5830723113,0.0,1.54085050022,0.0,2.0851571111,0.0,0.0144788784406,0.0,0.163291009665
18,0.0,1303.24935983,0.0,333.940972312,0.0,0.796028008623,0.0,0.203971991377,-38.0,2.2338501028,-38.0,5.6153278421,-38.0,13.0,-38.0,18.5830723113,0.0,1.74248640087,0.0,2.26391120485,0.0,0.024943087871,0.0,0.391800977746
19,0.0,1301.48879686,0.0,333.913309834,0.0,0.795821890857,0.0,0.204178109143,-37.0,3.2338501028,-37.0,6.6153278421,-37.0,14.0,-37.0,19.5830723113,0.0,1.94886435843,0.0,2.44493941224,0.0,0.0397828845166,0.0,0.708597415827
20,0.0,1299.55808648,0.0,333.884605692,0.0,0.795594539501,0.0,0.204405460499,-36.0,4.2338501028,-36.0,7.6153278421,-36.0,15.0,-36.0,20.5830723113,0.0,2.15914819137,0.0,2.62794727236,0.0,0.0596809141121,0.0,1.09549080213
21,0.0,1297.45390137,0.0,333.854872069,0.0,0.795345383103,0.0,0.204654616897,-35.0,5.2338501028,-35.0,8.6153278421,-35.0,16.0,-35.0,21.5830723113,0.0,2.37259103606,0.0,2.81266860204,0.0,0.0852530415264,0.0,1.53509982301
22,0.0,1295.1732795,0.0,333.824120509,0.0,0.795073877645,0.0,0.204926122355,-34.0,6.2338501028,-34.0,9.6153278421,-34.0,17.0,-34.0,22.5830723113,0.0,2.58852506378,0.0,2.99886208091,0.0,0.117043915172,0.0,2.01303670117
23,0.0,1292.71361466,0.0,333.792361984,0.0,0.794779504793,0.0,0.205220495207,-33.0,7.2338501028,-33.0,10.6153278421,-33.0,18.0,-33.0,23.5830723113,0.0,2.80635271464,0.0,3.18630836767,0.0,0.15552539758,0.0,2.51801877881
24,0.0,1290.0726486,0.0,333.759606941,0.0,0.794461770419,0.0,0.205538229581,-32.0,8.2338501028,-32.0,11.6153278421,-32.0,19.0,-32.0,24.5830723113,0.0,3.02553915007,0.0,3.37480764665,0.0,0.201096823602,0.0,3.04133808079
